project,name,state,created,duration_hrs,tags,train_return,test_return,loss_actor,loss_critic,entropy_coef,wm_kl,wm_total_loss,debug_alpha_steer,debug_alpha_gas,debug_log_std_mean,epoch,memory_len,kl_div_loss
trackmania-rl,SPECTRE_v20,killed,2026-03-24T23:24:53Z,14.79,,,,-8.124185545,0.1075209258,0.0705283743,0.7530359007,,0.0705298886,0.0705259864,-0.1539770317,,980418,40.6171321793
trackmania-rl,SPECTRE_v21,killed,2026-03-25T14:12:50Z,11.4,,,,-6.3842961388,0.0836464144,0.0952018915,0.7121631643,,0.0953132333,0.0950657339,-0.124633951,,662549,6.9960597706
trackmania-rl,SPECTRE_v22,killed,2026-03-26T01:37:05Z,1.95,,,,-2.0481038184,0.0145088422,0.1734672752,0.6919097285,,0.1735043013,0.1734383333,-0.1365789937,,79366,0.6816870009
trackmania-rl,SPECTRE_v23,killed,2026-03-26T03:34:53Z,7.54,,,,-4.2943182364,0.0173934497,0.1494864213,0.7779025909,,0.1496664262,0.1488621292,-0.1334216406,,216087,0.3096614271
trackmania-rl,SPECTRE_v24,killed,2026-03-26T11:07:33Z,2.84,,,,-3.5385399027,0.029163914,0.1492642093,0.8138368353,,0.1496929193,0.1483859968,-0.1365641697,,187551,0.7601928683
trackmania-rl,SPECTRE_v25,killed,2026-03-26T13:58:25Z,0.74,,,,,,,,,,,,,,
trackmania-rl,SPECTRE_v26,killed,2026-04-09T11:10:49Z,6.43,,,,-5.8801853514,0.1060543219,0.0557228868,0.81377031,,0.0894330341,0.0478755946,-0.1283270093,,178248,0.0008285196
trackmania-rl,SPECTRE_v28,killed,2026-04-09T17:39:30Z,7.56,,,,-2.0747493124,0.0236787471,0.009333333,0.6024624839,,0.0149999997,0.0079999994,0.1329098808,,383468,0.0001653119
trackmania-rl,SPECTRE_v29,killed,2026-04-10T01:13:50Z,0.25,,,,,,,,,,,,,,
trackmania-rl,SPECTRE_v30,crashed,2026-04-10T01:29:32Z,14.1,,,,0.0002299014,0.0011430595,0.0095455216,0.7301121962,,0.0149999997,0.0079999994,-0.1767273093,,52324,8.1762e-05
trackmania-rl,SPECTRE_v31,killed,2026-04-10T15:50:31Z,10.51,,,,-1.7356329668,0.008199761,0.0159495816,0.6698694777,,0.025693553,0.0135386074,0.0769613118,,515657,1.68831e-05
trackmania-rl,SPECTRE_v32,killed,2026-04-11T02:21:20Z,6.13,,,,-0.1246227238,0.0064160538,0.0073693591,0.7611952853,,0.0117704676,0.0062740997,0.321345678,,275009,4.18995e-05
trackmania-rl,SPECTRE_v33,killed,2026-04-11T08:29:44Z,0.68,,,,,,,,,,,,,,
trackmania-rl,SPECTRE_v34,killed,2026-04-11T09:13:00Z,0.84,,,,0.0410558858,0.228553567,0.0088773551,0.6234135643,,0.0089134892,0.0087396111,-0.0787835573,,21678,4.5271144378
trackmania-rl,SPECTRE_v35,killed,2026-04-11T10:03:48Z,28.63,,,,-2.1696354544,0.0170632942,0.0071835889,0.6965611279,,0.0099419178,0.0061857459,-1.569425419,,1000000,0.0008173993
trackmania-rl,SPECTRE_v36,killed,2026-04-12T01:11:46Z,25.24,,,,-2.7436678493,0.0150043515,0.0695447743,0.9366040927,,0.1117725438,0.0596169198,-0.1199624844,,655975,0.0004079745
trackmania-rl,SPECTRE_v37,killed,2026-04-13T02:26:51Z,6.67,,,,0.0211249803,0.0007604843,0.003818998,0.6883030102,,0.0038494413,0.0038874769,0.1765968928,,261368,3.13533e-05
trackmania-rl,SPECTRE_new_policy,killed,2026-04-22T17:09:11Z,24.37,,,,-1.2450359839,0.0085437444,0.0036276539,0.9584274685,,0.0049314826,0.0029362193,-2.1212858933,,660399,0.6354511094
trackmania-rl,SPECTRE_new_policy_1,killed,2026-04-23T17:32:04Z,92.43,,,,-0.9897048485,0.0081415377,0.0019979842,0.8793496636,,0.0033002716,0.0015312324,0.2719724425,,735999,0.640030288
trackmania-rl,SPECTRE_new_policy_2,killed,2026-04-27T13:59:17Z,1.1,,,,-0.2608853985,0.004584968,0.0081201743,0.7800473362,1.0042163455,0.0078781945,0.0082599251,-0.0902404868,,41633,0.858678778
trackmania-rl,SPECTRE_new_policy_test_3,killed,2026-04-27T15:23:30Z,9.7,,,,-0.5421404141,0.0029666699,0.0080000013,0.5890293789,1.0011701119,0.0099999998,0.0070000011,-0.3228892525,,393961,0.7062429109
trackmania-rl,SPECTRE_new_policy_test_4,running,2026-04-30T07:06:51Z,0.89,,,,-0.3325327046,0.0052308647,0.0599999987,0.0564974692,0.0027791764,0.0799999982,0.0500000007,-0.0699066735,,20511,0.0472802623
